"","Date","Open","High","Low","Close","Adj.Close","Volume","shifted_close","returns"
"66","2009-06-01",10.84,10.96,10.31,10.75,1.617349,0,1.579737,0.023809026439211
"67","2009-07-01",10.99,11.81,10.38,11.78,1.772314,0,1.617349,0.0958141996563513
"68","2009-08-01",12.04,12.32,11.68,12.07,1.815945,0,1.772314,0.0246180981473938
"69","2009-09-01",11.84,12.85,11.79,12.72,1.913739,0,1.815945,0.0538529525949301
"70","2009-10-01",12.41,13.27,12.13,12.13,1.824972,0,1.913739,-0.0463840680468967
"71","2009-11-01",12.16,12.85,12.16,12.37,1.86108,0,1.824972,0.0197855090379468
"72","2009-12-01",12.55,13.29,12.51,13.07,1.966396,0,1.86108,0.0565886474520172
"73","2010-01-01",13.32,13.66,12.92,12.92,1.943828,0,1.966396,-0.0114768337608498
"74","2010-02-01",12.98,13.62,12.56,13.55,2.038613,0,1.943828,0.0487620303854044
"75","2010-03-01",13.8,14.74,13.8,14.55,2.189064,0,2.038613,0.073800667414561
"76","2010-04-01",14.71,15.6,14.71,15.13,2.276325,0,2.189064,0.0398622424926818
"77","2010-05-01",15.48,15.48,13.62,14.1,2.121361,0,2.276325,-0.0680763950666096
"78","2010-06-01",13.66,14.14,13.16,13.16,1.979937,0,2.121361,-0.0666666352403008
"79","2010-07-01",13.04,14.34,12.8,13.96,2.100298,0,1.979937,0.0607903180757772
"80","2010-08-01",14.18,14.18,12.67,12.78,1.922765,0,2.100298,-0.0845275289506536
"81","2010-09-01",13.27,14.38,13.27,14.35,2.158974,0,1.922765,0.1228486060439
"82","2010-10-01",14.4,15.05,14.23,14.84,2.232695,0,2.158974,0.0341463120908356
"83","2010-11-01",14.77,15.44,14.77,15.23,2.29137,0,2.232695,0.0262798994040834
"84","2010-12-01",15.62,16.440001,15.62,16.17,2.432795,0,2.29137,0.0617207173001304
"85","2011-01-01",16.49,16.610001,16.049999,16.18,2.528583,0,2.432795,0.0393736422509909
"86","2011-02-01",16.52,17.379999,16.5,16.889999,2.639541,0,2.528583,0.0438814941016372
"87","2011-03-01",16.629999,17.17,16.09,17.17,2.683298,0,2.639541,0.0165775034371507
"88","2011-04-01",17.24,17.66,16.709999,17.66,2.759875,0,2.683298,0.0285383882073478
"89","2011-05-01",17.57,17.6,16.65,17.25,2.695801,0,2.759875,-0.0232162688527561
"90","2011-06-01",16.76,16.76,15.74,16.610001,2.595783,0,2.695801,-0.0371014032563977
"91","2011-07-01",16.889999,17.09,16.120001,16.120001,2.519206,0,2.595783,-0.0295005399141607
