Date,Open,High,Low,Close,Adj Close,Volume
2016-04-01,60.820000,68.820000,59.939999,67.500000,48.355026,377361300
2016-05-01,67.379997,67.919998,63.500000,66.870003,47.903721,290212200
2016-06-01,66.220001,70.260002,64.110001,68.239998,48.885151,332050300
2016-07-01,68.160004,69.820000,65.690002,67.379997,48.586899,241065400
2016-08-01,66.790001,71.000000,64.570000,68.510002,49.401733,354955200
2016-09-01,68.220001,71.940002,66.139999,70.610001,50.916023,400166200
2016-10-01,70.730003,71.980003,68.500000,68.620003,49.780128,264801500
2016-11-01,69.129997,75.120003,67.000000,74.430000,53.994957,368265600
2016-12-01,75.809998,78.449997,74.360001,75.320000,54.640617,290149800
2017-01-01,76.110001,76.809998,72.129997,72.900002,53.164631,227973500
2017-02-01,73.290001,73.779999,70.629997,71.379997,52.056118,246765900
2017-03-01,72.040001,73.139999,67.860001,69.900002,50.976784,382138100
2017-04-01,70.010002,71.489998,67.110001,67.839996,49.771233,282260400
2017-05-01,67.820000,68.870003,65.099998,65.440002,48.010460,336386700
2017-06-01,65.470001,67.550003,63.639999,64.919998,47.628960,412892800
2017-07-01,65.150002,67.129997,63.290001,66.620003,49.212662,310718600
2017-08-01,66.660004,66.989998,61.799999,62.970001,46.516380,283553400
2017-09-01,63.070000,68.900002,62.910000,68.480003,50.586643,259606700
2017-10-01,67.750000,68.930000,66.339996,67.910004,50.826214,214843500
2017-11-01,68.320000,70.470001,66.910004,69.099998,51.716854,262583400
2017-12-01,69.589996,72.720001,66.690002,72.260002,54.081902,222031900
2018-01-01,72.620003,78.389999,72.389999,74.849998,56.393379,296575500
2018-02-01,74.949997,75.669998,64.449997,66.739998,50.283161,396020700
2018-03-01,66.669998,69.019997,65.650002,67.410004,50.787949,298143200
2018-04-01,67.150002,74.669998,64.930000,73.809998,56.005760,325302000
2018-05-01,73.440002,79.419998,72.430000,76.019997,57.682667,368692400
2018-06-01,76.279999,77.650002,73.139999,75.940002,57.621960,307137000
2018-07-01,75.410004,78.000000,73.980003,77.120003,58.912605,249231000
2018-08-01,76.449997,76.500000,71.699997,74.440002,56.865330,256055200
2018-09-01,74.779999,77.010002,71.779999,75.739998,57.858406,231780300
2018-10-01,76.019997,78.360001,64.370003,67.160004,51.656841,434624500
2018-11-01,67.300003,70.370003,63.439999,66.110001,50.849220,403394800
2018-12-01,67.620003,67.989998,53.360001,57.349998,44.111378,477197000
2019-01-01,56.439999,64.080002,56.150002,63.779999,49.515957,333689000
2019-02-01,64.470001,66.930000,61.869999,65.250000,50.657196,209874900
2019-03-01,65.599998,67.419998,63.310001,66.120003,51.332634,306595100
2019-04-01,66.559998,68.809998,65.610001,66.110001,51.727402,252909800
2019-05-01,66.129997,66.330002,58.770000,58.770000,45.984261,333142100
2019-06-01,59.169998,63.930000,59.080002,63.709999,49.849541,291847000
2019-07-01,64.500000,64.709999,61.740002,62.700001,49.507072,225597100
2019-08-01,62.009998,62.299999,55.549999,57.480000,45.385433,382618500
2019-09-01,56.549999,63.650002,56.380001,59.200001,46.743515,350628200
2019-10-01,59.400002,60.060001,55.639999,57.959999,46.182991,317614100
2019-11-01,58.250000,61.830002,58.090000,58.889999,46.924026,264399100
2019-12-01,59.090000,62.439999,57.799999,60.040001,47.840355,283019400
